pedido_id,cliente_id,data_pedido,status,valor_total,metodo_pagamento,endereco_id
153,156,2023-03-04 11:28:00,completed,1563.26,pix,179
154,300,2023-06-25 06:37:00,completed,3182.89,pix,199
155,361,2024-11-07 03:55:00,completed,5076.51,cartao_credito,301
156,175,2025-06-16 06:55:00,completed,4282.89,cartao_credito,89
157,413,2025-05-14 12:33:00,returned,918.36,pix,215
158,54,2023-11-21 05:03:00,completed,3066.68,pix,390
159,487,2024-11-10 18:45:00,completed,3115.67,boleto,291
160,302,2025-04-23 12:33:00,completed,3703.84,pix,156
161,363,2024-07-03 10:59:00,completed,7069.09,pix,190
162,307,2025-06-01 17:45:00,returned,1905.36,pix,223
163,312,2025-02-09 05:02:00,completed,21.34,cartao_credito,278
164,251,2025-04-08 20:07:00,completed,412.4,cartao_credito,270
165,258,2024-12-18 03:44:00,completed,5534.76,boleto,306
166,426,2025-04-23 20:40:00,completed,2589.02,cartao_credito,151
167,329,2024-02-27 12:15:00,completed,11596.01,cartao_credito,321
168,132,2025-05-30 19:21:00,cancelled,5668.9,pix,145
169,333,2024-05-20 06:42:00,completed,8495.85,pix,279
170,10,2024-01-18 21:12:00,pending,1197.18,boleto,388
171,101,2023-09-02 05:18:00,completed,1550.37,boleto,30
172,256,2025-05-28 07:21:00,completed,124.17,boleto,183
173,72,2025-01-05 08:09:00,completed,2668.13,pix,41
174,460,2025-05-30 05:05:00,completed,1833.06,boleto,374
175,352,2023-12-11 15:55:00,completed,6837.9,pix,109
176,151,2024-03-21 10:02:00,completed,4822.8,boleto,232
177,480,2023-06-03 06:58:00,completed,4279.35,boleto,13
178,61,2025-02-05 22:05:00,pending,1853.3,cartao_credito,160
179,226,2024-12-23 18:10:00,pending,10318.12,pix,279
180,74,2023-10-08 10:40:00,completed,2518.08,pix,219
181,302,2023-08-10 04:52:00,completed,1825.64,boleto,263
182,155,2023-10-02 10:12:00,completed,10962.73,boleto,145
183,423,2025-07-14 20:52:00,completed,2633.48,pix,293
184,80,2024-05-15 23:47:00,pending,4185.0,boleto,277
185,295,2024-12-17 11:33:00,completed,2609.26,boleto,336
186,99,2024-06-11 15:03:00,completed,4185.0,cartao_credito,136
187,439,2024-12-07 06:13:00,completed,80.37,pix,81
188,494,2023-05-09 00:32:00,returned,1391.19,cartao_credito,99
189,13,2023-03-02 19:17:00,cancelled,9519.38,pix,202
190,187,2024-12-15 01:30:00,completed,3918.74,pix,170
191,86,2023-12-03 12:11:00,cancelled,1909.08,cartao_credito,279
192,259,2024-03-02 21:48:00,pending,1445.82,boleto,305
193,81,2025-06-10 15:33:00,completed,3994.5,cartao_credito,23
194,337,2025-04-03 22:57:00,completed,6988.9,cartao_credito,2
195,29,2023-04-17 11:47:00,completed,4089.02,pix,123
196,104,2023-11-18 05:22:00,completed,3257.58,boleto,73
197,289,2023-11-08 19:49:00,completed,6284.87,boleto,13
198,416,2023-06-15 04:06:00,completed,2174.76,cartao_credito,228
199,475,2023-04-19 07:51:00,completed,1638.77,cartao_credito,229
200,15,2024-04-29 10:14:00,completed,4940.43,pix,317
201,259,2024-05-07 19:10:00,completed,5119.92,cartao_credito,294
202,41,2024-10-20 04:52:00,cancelled,10611.58,pix,380
203,20,2024-08-29 12:03:00,cancelled,4880.39,cartao_credito,369
204,468,2023-06-10 20:20:00,pending,3674.6,pix,197
205,441,2024-06-09 01:11:00,completed,1905.63,cartao_credito,216
206,134,2025-08-14 19:05:00,completed,7861.34,pix,198
207,482,2025-08-19 16:20:00,completed,4508.14,boleto,170
208,373,2023-12-21 09:05:00,completed,2601.53,cartao_credito,72
209,93,2025-08-17 22:59:00,completed,6163.2,cartao_credito,90
210,239,2025-06-08 03:46:00,completed,3629.54,cartao_credito,272
211,32,2025-04-12 06:46:00,completed,10099.32,cartao_credito,400
212,39,2024-05-21 16:58:00,completed,1867.35,cartao_credito,93
213,68,2025-02-18 15:46:00,completed,3290.14,pix,100
214,113,2024-02-28 11:49:00,completed,6768.68,boleto,209
215,252,2024-07-11 05:08:00,completed,10406.46,pix,292
216,271,2023-05-10 08:38:00,completed,6753.2,cartao_credito,122
217,292,2024-09-06 00:36:00,completed,5571.39,pix,197
218,19,2025-08-01 10:11:00,completed,3915.5,cartao_credito,9
219,193,2024-11-27 17:09:00,completed,8607.7,cartao_credito,250
220,81,2025-02-18 02:23:00,completed,2684.1,cartao_credito,227
221,66,2023-01-24 14:35:00,completed,669.04,pix,104
222,27,2025-08-17 05:13:00,completed,16961.16,pix,336
223,129,2023-07-28 18:06:00,pending,3901.06,pix,150
224,315,2024-07-15 21:32:00,pending,13338.57,boleto,137
225,464,2025-06-24 21:53:00,completed,1988.2,cartao_credito,115
226,273,2025-05-18 16:43:00,completed,3518.72,boleto,89
227,12,2024-07-16 18:08:00,completed,2908.04,pix,50
228,319,2025-03-11 22:50:00,completed,978.44,pix,268
229,178,2023-08-04 07:36:00,completed,1560.32,cartao_credito,210
230,481,2024-03-17 03:18:00,pending,4674.1,cartao_credito,103
231,494,2023-01-12 18:28:00,completed,6279.0,pix,101
232,371,2023-06-20 03:38:00,completed,9259.17,pix,36
233,252,2023-02-17 17:22:00,completed,10031.55,cartao_credito,17
234,256,2025-06-28 02:37:00,completed,3337.88,cartao_credito,256
235,1,2023-03-12 21:59:00,completed,5651.89,pix,112
236,37,2023-11-11 07:08:00,completed,14476.08,pix,232
237,197,2024-04-04 18:11:00,completed,807.45,pix,51
238,324,2024-07-27 22:14:00,completed,203.63,boleto,186
239,31,2025-04-20 16:40:00,completed,11370.87,pix,391
240,139,2025-04-20 23:23:00,completed,3280.38,cartao_credito,113
241,104,2025-05-14 22:22:00,returned,1668.94,cartao_credito,77
242,16,2023-01-03 14:47:00,completed,5132.3,boleto,171
243,107,2025-06-07 03:21:00,completed,3533.12,boleto,326
244,241,2023-05-10 13:35:00,completed,3900.4,boleto,111
245,61,2023-01-08 11:48:00,completed,5261.75,boleto,314
246,71,2024-10-07 08:52:00,completed,10882.98,boleto,80
247,32,2025-01-06 21:36:00,pending,2141.3,pix,358
248,116,2024-08-28 19:02:00,completed,25881.61,cartao_credito,165
249,165,2025-09-20 05:22:00,completed,10094.35,pix,261
250,98,2024-01-24 11:58:00,completed,4099.64,boleto,70
251,212,2025-01-02 09:55:00,cancelled,868.08,boleto,273
252,255,2024-07-17 17:56:00,completed,20066.33,cartao_credito,194
253,25,2025-06-13 15:55:00,completed,12635.04,pix,282
254,46,2023-12-19 18:57:00,completed,16596.07,pix,17
255,116,2023-10-29 22:38:00,completed,9591.7,boleto,252
256,338,2024-08-23 02:14:00,completed,3666.12,cartao_credito,3
257,296,2025-05-11 02:52:00,completed,4525.57,boleto,83
258,335,2024-08-24 11:05:00,completed,1679.14,boleto,187
259,485,2024-03-26 06:52:00,pending,14860.75,boleto,101
260,426,2023-09-16 23:50:00,completed,2692.52,boleto,329
261,467,2024-05-15 01:21:00,completed,1237.71,boleto,95
262,104,2024-04-06 05:48:00,completed,1533.34,boleto,148
263,423,2024-05-25 17:17:00,pending,1056.0,pix,354
264,83,2024-06-23 01:27:00,completed,8717.3,pix,303
265,26,2025-04-18 09:52:00,completed,3036.51,boleto,54
266,65,2024-11-08 19:37:00,completed,923.5,pix,105
267,127,2025-04-03 08:00:00,pending,2893.68,pix,191
268,112,2024-04-21 06:16:00,completed,1370.84,pix,280
269,102,2024-03-04 12:33:00,pending,3647.73,pix,348
270,237,2024-08-21 03:45:00,completed,8200.95,boleto,288
271,270,2024-04-26 01:33:00,pending,5230.38,cartao_credito,132
272,97,2023-02-16 13:24:00,completed,6711.4,pix,361
273,61,2024-06-29 17:13:00,completed,551.72,boleto,121
274,228,2024-11-28 07:49:00,completed,8162.3,pix,387
275,434,2025-05-02 13:42:00,completed,2855.26,cartao_credito,268
276,157,2025-09-12 07:48:00,completed,6502.24,boleto,50
277,311,2024-08-07 11:22:00,pending,757.73,pix,153
278,42,2024-03-06 18:01:00,completed,3001.05,boleto,282
279,79,2023-01-27 13:13:00,completed,1577.2,boleto,216
280,153,2024-01-06 16:17:00,completed,7349.43,boleto,262
281,417,2023-10-10 23:31:00,completed,1338.08,boleto,62
282,2,2024-04-02 05:55:00,completed,14832.61,cartao_credito,393
283,428,2025-06-18 19:48:00,completed,976.2,boleto,337
284,326,2023-07-03 05:34:00,completed,1369.95,boleto,165
285,194,2025-06-05 22:08:00,completed,5667.03,pix,389
286,159,2023-07-18 21:28:00,completed,3780.0,boleto,12
287,195,2024-05-13 18:08:00,pending,14932.68,boleto,114
288,27,2024-09-29 09:04:00,completed,900.24,boleto,300
289,46,2024-12-14 13:29:00,completed,3973.05,cartao_credito,309
290,223,2025-09-18 02:33:00,completed,193.11,cartao_credito,378
291,297,2025-06-28 17:46:00,pending,13925.9,cartao_credito,232
292,437,2023-11-14 05:08:00,cancelled,9587.65,pix,351
293,194,2023-03-12 10:21:00,completed,7127.25,pix,384
294,56,2023-04-08 04:26:00,completed,106.7,boleto,250
295,228,2025-07-18 14:10:00,completed,14182.2,pix,25
296,338,2025-05-31 14:50:00,completed,14981.72,pix,310
297,128,2023-06-10 10:22:00,completed,4334.41,pix,367
298,365,2023-07-02 09:58:00,pending,1301.52,boleto,258
299,75,2024-02-27 05:00:00,completed,2407.94,cartao_credito,159
300,257,2023-02-22 06:53:00,completed,210.87,boleto,62
301,272,2025-08-30 20:43:00,completed,9346.75,cartao_credito,382
302,366,2024-01-05 06:56:00,completed,10529.61,boleto,230
303,212,2023-01-26 18:43:00,completed,5704.72,boleto,59
304,342,2024-06-16 03:54:00,returned,780.16,boleto,147
305,303,2024-06-10 18:11:00,completed,1705.05,cartao_credito,240
306,403,2025-03-19 14:04:00,pending,1200.42,pix,393
307,240,2024-09-04 01:47:00,completed,1305.02,cartao_credito,36
308,56,2024-03-30 14:29:00,completed,2918.95,pix,317
309,376,2025-04-16 11:51:00,completed,7416.0,cartao_credito,137
310,24,2023-08-23 19:10:00,completed,2701.28,pix,180
311,316,2024-09-13 16:04:00,completed,7686.95,cartao_credito,270
312,465,2024-08-01 10:40:00,completed,1833.06,cartao_credito,185
313,451,2023-08-23 15:22:00,completed,7130.9,cartao_credito,267
314,158,2025-04-16 21:14:00,completed,6057.93,boleto,155
315,365,2024-08-25 19:37:00,completed,5519.69,boleto,62
316,60,2024-09-26 02:24:00,completed,9771.76,pix,87
317,80,2023-11-17 23:27:00,completed,2901.66,boleto,219
318,48,2024-05-17 14:00:00,completed,470.05,pix,15
319,197,2025-07-06 06:10:00,completed,1693.14,cartao_credito,92
320,444,2023-11-24 12:54:00,completed,154.42,pix,331
321,12,2024-03-08 13:54:00,completed,3330.86,pix,128
322,207,2024-06-20 01:39:00,cancelled,5708.3,pix,290
323,284,2023-05-15 20:20:00,pending,193.11,boleto,291
324,188,2024-10-14 10:33:00,completed,3044.24,pix,135
325,172,2024-02-28 02:37:00,completed,7094.8,pix,360
326,406,2023-09-13 12:33:00,completed,7673.36,pix,168
327,253,2025-07-20 02:33:00,completed,7428.32,cartao_credito,18
328,2,2025-01-02 16:00:00,pending,12336.27,cartao_credito,148
329,372,2023-01-23 23:17:00,completed,947.0,pix,296
330,247,2024-03-24 14:37:00,completed,1349.1,boleto,172
331,218,2023-01-28 23:48:00,completed,3544.82,pix,223
332,297,2025-07-04 21:14:00,pending,3453.4,boleto,311
333,492,2025-09-24 05:07:00,completed,3699.0,boleto,44
334,223,2025-01-05 08:50:00,completed,7248.6,boleto,104
335,39,2025-09-10 12:58:00,completed,3580.86,pix,275
336,423,2023-12-02 12:36:00,completed,3477.8,pix,237
337,159,2024-07-03 07:39:00,completed,370.66,pix,14
338,284,2024-01-07 05:18:00,completed,3438.34,boleto,199
339,358,2025-02-03 17:06:00,completed,12922.52,cartao_credito,250
340,133,2024-08-12 11:30:00,completed,1454.6,cartao_credito,72
341,258,2023-02-17 09:31:00,completed,2174.76,cartao_credito,188
342,411,2025-04-24 03:37:00,cancelled,16932.23,cartao_credito,94
343,320,2025-09-18 06:32:00,completed,80.37,boleto,22
344,145,2023-09-25 07:39:00,completed,1096.6,cartao_credito,334
345,45,2025-03-02 11:14:00,completed,4781.62,pix,124
346,149,2025-08-15 07:20:00,completed,6768.84,pix,244
347,494,2024-05-15 22:59:00,completed,485.08,pix,69
348,284,2023-03-10 07:08:00,completed,1263.96,boleto,272
349,227,2025-09-05 19:30:00,completed,1406.7,cartao_credito,305
350,230,2024-08-22 23:15:00,completed,95.58,boleto,55
351,83,2023-10-09 16:16:00,completed,2488.32,pix,175
352,183,2025-05-09 12:19:00,returned,7273.0,pix,316
353,150,2025-05-26 15:27:00,completed,15876.39,cartao_credito,366
354,50,2024-01-11 21:15:00,completed,7888.62,pix,239
355,352,2023-10-03 03:01:00,completed,5432.84,boleto,151
356,494,2023-01-03 23:47:00,pending,2800.26,pix,169
357,162,2024-12-23 17:43:00,completed,16614.1,pix,83
358,71,2024-05-28 19:38:00,completed,3398.34,pix,168
359,419,2025-04-17 18:41:00,completed,5198.4,boleto,171
360,240,2025-08-29 02:58:00,completed,2324.64,pix,226
361,10,2025-09-22 10:31:00,completed,7433.66,cartao_credito,302
362,483,2023-09-01 01:49:00,completed,6313.65,pix,183
363,251,2023-06-26 09:58:00,cancelled,1650.73,cartao_credito,382
364,464,2023-04-03 05:40:00,pending,6661.72,boleto,219
365,233,2025-03-14 02:52:00,completed,6936.1,pix,182
366,26,2023-08-04 19:14:00,completed,5050.92,boleto,27
367,211,2024-03-25 08:58:00,returned,7243.35,boleto,256
368,353,2023-04-03 00:00:00,completed,687.05,pix,233
369,322,2024-07-07 02:10:00,completed,7243.35,cartao_credito,353
370,145,2024-06-27 01:34:00,completed,2241.4,cartao_credito,44
371,22,2023-11-16 22:00:00,pending,1671.8,pix,234
372,409,2025-05-30 10:44:00,completed,844.8,boleto,76
373,220,2023-05-01 00:11:00,completed,1398.35,boleto,93
374,58,2025-03-14 10:38:00,completed,3638.9,cartao_credito,283
375,175,2023-09-09 21:48:00,cancelled,8127.8,boleto,18
376,245,2023-08-03 19:38:00,completed,2170.2,boleto,374
377,238,2023-01-15 07:02:00,completed,4207.35,cartao_credito,269
378,465,2023-07-27 14:01:00,cancelled,3225.54,pix,242
379,279,2024-07-25 04:03:00,cancelled,412.23,boleto,79
380,92,2023-07-04 11:37:00,completed,4873.87,cartao_credito,167
381,145,2025-04-02 07:14:00,returned,7628.36,pix,181
382,188,2024-12-21 15:41:00,completed,1085.86,boleto,308
383,434,2023-08-19 16:19:00,completed,8787.17,boleto,324
384,204,2023-01-25 11:39:00,pending,18944.99,pix,34
385,316,2024-01-19 12:56:00,completed,5338.95,boleto,313
386,82,2024-05-22 00:00:00,completed,9697.07,cartao_credito,126
387,132,2025-01-29 00:00:00,completed,3559.3,pix,347
388,327,2024-04-18 10:37:00,completed,5176.28,cartao_credito,264
389,168,2023-09-23 22:35:00,completed,5287.35,cartao_credito,85
390,420,2023-09-07 03:26:00,completed,5555.76,boleto,212
391,11,2024-08-05 21:45:00,completed,6837.9,cartao_credito,13
392,375,2024-12-30 22:22:00,completed,2767.38,boleto,10
393,354,2023-04-17 22:31:00,pending,9019.68,pix,243
394,337,2023-05-18 18:13:00,completed,15017.08,cartao_credito,43
395,113,2024-06-08 11:36:00,completed,4499.63,boleto,367
396,482,2025-07-07 21:58:00,completed,6617.85,cartao_credito,337
397,335,2023-12-18 09:23:00,cancelled,6503.13,boleto,248
398,435,2025-02-12 09:11:00,completed,514.03,pix,161
399,127,2024-10-19 05:43:00,completed,1814.77,pix,213
400,341,2023-08-02 18:35:00,cancelled,2696.46,boleto,333
401,289,2025-08-15 14:21:00,pending,6951.69,pix,400
402,141,2023-06-18 04:05:00,completed,8901.5,pix,142
403,81,2023-02-06 08:52:00,pending,2155.57,pix,154
404,365,2025-07-28 16:10:00,completed,9852.78,boleto,250
405,385,2024-04-11 08:51:00,completed,3182.24,boleto,97
406,18,2023-04-18 00:29:00,completed,283.97,cartao_credito,15
407,130,2024-03-29 03:17:00,pending,211.2,pix,116
408,341,2024-05-20 11:33:00,completed,791.43,boleto,163
409,111,2023-01-21 11:26:00,pending,6113.26,boleto,280
410,202,2023-12-12 19:23:00,completed,2546.44,boleto,11
411,312,2025-02-01 15:20:00,completed,9811.06,cartao_credito,189
412,95,2025-07-15 16:06:00,completed,84.59,cartao_credito,233
413,278,2024-06-19 21:25:00,cancelled,971.66,pix,272
414,155,2025-03-12 09:02:00,completed,752.14,boleto,163
415,350,2024-04-04 16:18:00,completed,1801.97,boleto,2
416,386,2025-07-12 02:32:00,pending,8495.85,pix,246
417,54,2023-09-06 17:23:00,completed,1754.74,pix,193
418,225,2023-11-08 01:37:00,completed,10288.88,boleto,270
419,318,2023-09-10 12:45:00,completed,6606.35,cartao_credito,53
420,183,2023-09-19 21:59:00,completed,11387.6,cartao_credito,37
421,109,2023-06-03 07:14:00,completed,3568.46,pix,270
422,170,2024-07-29 01:49:00,completed,1674.38,boleto,116
423,403,2025-04-13 12:53:00,returned,3560.6,boleto,279
424,265,2024-12-26 12:51:00,completed,5076.51,cartao_credito,373
425,131,2023-11-11 23:58:00,completed,9416.71,pix,140
426,278,2025-09-24 23:30:00,completed,5670.0,pix,260
427,453,2024-01-08 19:50:00,completed,9060.75,cartao_credito,199
428,151,2024-12-05 03:10:00,completed,2716.42,cartao_credito,110
429,466,2023-02-18 09:56:00,completed,979.94,cartao_credito,66
430,309,2023-02-25 00:07:00,completed,1304.63,cartao_credito,392
431,483,2024-04-02 09:37:00,cancelled,9129.76,pix,258
432,127,2023-01-23 18:48:00,completed,6186.12,cartao_credito,30
433,383,2025-07-19 07:36:00,cancelled,3362.1,pix,392
434,141,2025-02-21 17:45:00,completed,11795.13,pix,366
435,426,2025-08-03 08:13:00,completed,1111.98,boleto,306
436,487,2024-05-05 23:52:00,completed,7673.36,pix,281
437,82,2025-09-17 10:38:00,completed,4316.16,pix,261
438,183,2023-03-29 02:42:00,completed,1890.0,boleto,331
439,211,2024-07-05 23:27:00,completed,8175.4,boleto,75
440,218,2023-04-16 12:19:00,completed,3398.34,pix,351
441,268,2023-03-15 23:12:00,returned,724.92,pix,249
